disciplina,area,durata_anni,territorio,tipo_territorio,contratti_annui_totali,contratti_quinquennio_2026_2031,tasso_abbandono_stimato,nuovi_specialisti_effettivi_5anni,stock_medici_attivi,quota_pensionandi_60plus,pensionamenti_stimati_2026_2031,delta_demografico_target_pct,target_demografico,qol_score_base,notti_mese,reperibilita_mese,ore_settimanali,classe_rischio_legale,indice_burnout,rep_lorda_annua,rep_netta_annua,rep_privato_stimato
Gastroenterologia,Medica,4,Puglia,Regione,14,70,0.02,69,131,0.38,50,9.8,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Sardegna,Regione,5,25,0.02,24,53,0.38,20,9.57,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Sicilia,Regione,17,85,0.02,83,162,0.399,65,9.46,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Toscana,Regione,13,65,0.02,64,124,0.38,47,7.45,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Umbria,Regione,3,15,0.02,15,29,0.38,11,7.61,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Valle d'Aosta,Regione,0,0,0.02,0,4,0.38,2,10.58,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,Veneto,Regione,17,85,0.02,83,165,0.361,60,11.23,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,P.A. Bolzano,Regione,2,10,0.02,10,18,0.361,6,15.77,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Gastroenterologia,Medica,4,P.A. Trento,Regione,2,10,0.02,10,19,0.361,7,12.85,over65,56.1,2.5,3.5,45,2,60,129900.0,71400.0,51800.0
Geriatria,Medica,4,Italia (Nazionale),Nazionale,390,1950,0.16,1638,1350,0.38,513,-0.5,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Abruzzo,Regione,8,40,0.16,34,29,0.38,11,13.09,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Basilicata,Regione,3,15,0.16,13,12,0.399,5,12.09,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Calabria,Regione,12,60,0.16,50,42,0.399,17,15.8,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Campania,Regione,37,185,0.16,155,128,0.38,49,18.8,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Emilia-Romagna,Regione,30,150,0.16,126,103,0.38,39,10.1,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Friuli-Venezia Giulia,Regione,8,40,0.16,34,27,0.38,10,11.36,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Lazio,Regione,38,190,0.16,160,131,0.38,50,12.54,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Liguria,Regione,10,50,0.16,42,35,0.399,14,6.36,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Lombardia,Regione,67,335,0.16,281,230,0.361,83,12.79,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Marche,Regione,10,50,0.16,42,34,0.38,13,8.3,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Molise,Regione,2,10,0.16,8,7,0.399,3,10.97,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Piemonte,Regione,28,140,0.16,118,97,0.38,37,9.1,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Puglia,Regione,26,130,0.16,109,89,0.38,34,16.63,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Sardegna,Regione,10,50,0.16,42,36,0.38,14,12.71,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Sicilia,Regione,32,160,0.16,134,109,0.399,43,15.59,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Toscana,Regione,24,120,0.16,101,84,0.38,32,9.99,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Umbria,Regione,6,30,0.16,25,19,0.38,7,8.97,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Valle d'Aosta,Regione,1,5,0.16,4,3,0.38,1,12.15,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,Veneto,Regione,32,160,0.16,134,111,0.361,40,12.99,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,P.A. Bolzano,Regione,4,20,0.16,17,12,0.361,4,10.0,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Geriatria,Medica,4,P.A. Trento,Regione,4,20,0.16,17,13,0.361,5,15.52,over80,66.5,3.0,2.0,42,1,60,106200.0,58400.0,27700.0
Malattie dell'apparato cardiovascolare,Medica,4,Italia (Nazionale),Nazionale,580,2900,0.01,2871,5400,0.38,2052,8.5,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Abruzzo,Regione,12,60,0.01,59,116,0.38,44,9.03,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Basilicata,Regione,5,25,0.01,25,48,0.399,19,8.52,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Calabria,Regione,18,90,0.01,89,167,0.399,67,9.5,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Campania,Regione,55,275,0.01,272,510,0.38,194,12.63,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Emilia-Romagna,Regione,44,220,0.01,218,410,0.38,156,9.01,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Friuli-Venezia Giulia,Regione,12,60,0.01,59,109,0.38,41,7.69,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Lazio,Regione,56,280,0.01,277,523,0.38,199,11.48,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Liguria,Regione,15,75,0.01,74,139,0.399,55,6.51,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Lombardia,Regione,99,495,0.01,490,922,0.361,333,10.72,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Marche,Regione,15,75,0.01,74,136,0.38,52,8.41,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Molise,Regione,3,15,0.01,15,26,0.399,10,6.78,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Piemonte,Regione,42,210,0.01,208,390,0.38,148,6.84,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Puglia,Regione,38,190,0.01,188,354,0.38,135,9.8,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Sardegna,Regione,15,75,0.01,74,142,0.38,54,9.57,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
Malattie dell'apparato cardiovascolare,Medica,4,Sicilia,Regione,47,235,0.01,233,438,0.399,175,9.46,over65,37.4,4.0,4.5,48,3,70,142600.0,78500.0,63300.0
